,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
63,용역,20190220297-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190220297&bidseq=01&releaseYn=Y&taskClCd=5 ,2019년 광주광역시 공직자 힐링캠프 운영 용역 제안서 제출안내 공고,광주광역시,광주광역시,제한(총액)협상에의한계약,2019/02/19 13:27(2019/03/12 17:00),,마감
64,용역,20190218144-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190218144&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 1학년 진로인성 비전캠프 프로그램 운영 용역 전자 입찰 공고,경기도교육청 수원외국어고등학교,경기도교육청 수원외국어고등학교,제한(총액)규격가격동시,2019/02/15 16:25(2019/02/26 14:00),,마감
65,용역,20190217492-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190217492&bidseq=00&releaseYn=Y&taskClCd=5 ,경기자동차과학고등학교 2019학년도 1학년 진로비전수립캠프 용역 입찰공고,경기도교육청 경기자동차과학고등학교,경기도교육청 경기자동차과학고등학교,일반(총액)규격가격동시,2019/02/15 13:34(2019/02/25 17:00),,마감
66,용역,20190211130-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190211130&bidseq=00&releaseYn=Y&taskClCd=1 ,19년 학군사관후보생 집중교육(문무캠프)운영 용역,조달청 서울지방조달청,국방부,일반(총액)협상에의한계약,2019/02/13 17:56(2019/02/27 10:00),마감,마감
67,용역,20190211007-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190211007&bidseq=01&releaseYn=Y&taskClCd=5 ,2019년 금천 희망취업캠프 용역,서울특별시 금천구,서울특별시 금천구,제한(총액),2019/02/13 12:11(2019/02/19 14:00),,마감
68,용역,20190211760-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190211760&bidseq=00&releaseYn=Y&taskClCd=5 ,2019. 학교뉴스제작캠프 위탁 용역 소액수의 전자견적 제출 안내 공고,충청북도교육청 충청북도교육정보원,충청북도교육청 충청북도교육정보원,수의(총액)소액수의,2019/02/13 11:26(2019/02/19 14:00),,마감
69,용역,20190207542-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190207542&bidseq=01&releaseYn=Y&taskClCd=5 ,2019 아이디어 카운슬링캠프 위탁용역(최종),사단법인 한국여성벤처협회,사단법인 한국여성벤처협회,일반(총액)협상에의한계약,2019/02/13 10:38(-),,
70,용역,20190211323-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190211323&bidseq=00&releaseYn=Y&taskClCd=5 ,공무원 주제별 역량강화 교육 및 힐링캠프 위탁 용역(협상에의한계약),울산광역시 울주군,울산광역시 울주군,일반(총액)협상에의한계약,2019/02/12 18:22(-),,
71,물품,20190133039-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190133039&bidseq=01&releaseYn=Y&taskClCd=1 ,2019. 중학생 해외영어캠프 운영 항공권 구매,전라북도교육청,전라북도교육청,제한(총액),2019/02/12 08:46(2019/02/19 10:00),,마감
72,공사,20190207713-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190207713&bidseq=00&releaseYn=Y&taskClCd=3 ,달서별빛캠프 주차장 조성사업,대구광역시 달서구,대구광역시 달서구,제한경쟁,2019/02/11 16:43(2019/02/18 12:00),,마감
